,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
wavelet-HH_glrlm_RunEntropy,0.5226199464616652,<,2.973953359810781,0.5169194865810969,0.5147058823529411,mann-whitney U-test,0.22172943722156657
wavelet2-HL_ngtdm_Contrast,0.5223350950648636,>,0.0041284810743569,0.5088235294117647,0.5110851808634773,mann-whitney U-test,0.22760421062649683
square_glrlm_HighGrayLevelRunEmphasis,0.5223247992312444,<,11.846807074871393,0.5344224037339557,0.5323529411764706,mann-whitney U-test,0.22781860961768774
logarithm_glszm_ZoneEntropy,0.5221737936714943,<,7.067415530043774,0.5029171528588098,0.5058823529411764,mann-whitney U-test,0.23097967279365939
original_firstorder_Kurtosis,0.5221223145033976,<,3.5933352381754857,0.5239206534422404,0.5235294117647059,mann-whitney U-test,0.23206439825847436
wavelet2-HH_ngtdm_Strength,0.5220948589470794,>,0.0009901787340054,0.5205882352941177,0.5204200700116686,mann-whitney U-test,0.23264439486590438
exponential_gldm_LargeDependenceHighGrayLevelEmphasis,0.5220845631134601,<,80.15448054824505,0.5099183197199533,0.5147058823529411,mann-whitney U-test,0.23286215852789993
square_glcm_DifferenceEntropy,0.5220674033907613,>,0.8365893234709321,0.5205882352941177,0.5192532088681447,mann-whitney U-test,0.2332254192098473
wavelet2-LH_firstorder_Skewness,0.5219061019973917,>,-0.2150734780853446,0.5176470588235295,0.5169194865810969,mann-whitney U-test,0.23665972111457323
square_glcm_DifferenceAverage,0.521765392271261,>,0.2272635798892555,0.5147058823529411,0.5110851808634773,mann-whitney U-test,0.23968466962982105
wavelet-HL_glcm_Imc2,0.5217207769922438,<,0.4817864890988788,0.5110851808634772,0.5088235294117647,mann-whitney U-test,0.24064946718371383
wavelet-LH_glrlm_RunEntropy,0.5215629075434141,<,3.886667688113072,0.5005834305717619,0.5,mann-whitney U-test,0.2440853212230678
log-sigma-3-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.5215320200425562,<,0.1588909220060393,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.24476156314430808
wavelet2-HH_glszm_GrayLevelNonUniformityNormalized,0.5214702450408402,>,0.2664323267417409,0.5029411764705882,0.5017502917152858,mann-whitney U-test,0.246117989152274
original_glszm_GrayLevelVariance,0.521195689477658,<,23.81537763641932,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.2522102671022055
square_ngtdm_Strength,0.5211922575331183,<,0.2616124016792284,0.5110851808634772,0.5088235294117647,mann-whitney U-test,0.2522870800397108
wavelet2-LH_glcm_MCC,0.5210995950305443,<,0.5479518870164181,0.5029171528588098,0.5029411764705882,mann-whitney U-test,0.2543671956795268
wavelet2-HL_firstorder_Skewness,0.5210206603061295,>,-0.1561242776638179,0.5176470588235295,0.5169194865810969,mann-whitney U-test,0.2561485338757099
square_glcm_ClusterShade,0.5207872880774246,<,66.09054578611831,0.5239206534422404,0.5235294117647059,mann-whitney U-test,0.26146570785486056
log-sigma-2-mm-3D_firstorder_MeanAbsoluteDeviation,0.5206774658521519,<,19.758692032640305,0.5064177362893816,0.5058823529411764,mann-whitney U-test,0.26399412711529435
wavelet2-HH_glcm_Correlation,0.5206603061294529,>,0.1516767194178473,0.5205882352941177,0.5215869311551926,mann-whitney U-test,0.2643907107399184
wavelet-HH_glrlm_RunLengthNonUniformityNormalized,0.5204269339007481,<,0.3726312775401982,0.5204200700116686,0.5235294117647059,mann-whitney U-test,0.26982504040327715
wavelet-HH_glrlm_LongRunEmphasis,0.5203994783444299,>,6.152508816599787,0.5205882352941177,0.5227537922987164,mann-whitney U-test,0.2704693748461521
log-sigma-3-mm-3D_glcm_ClusterProminence,0.5203926144553503,<,1559.015618074878,0.5157526254375729,0.5147058823529411,mann-whitney U-test,0.27063062314106534
wavelet-HH_glcm_ClusterTendency,0.5203926144553505,<,0.5548197939336377,0.5122520420070011,0.5117647058823529,mann-whitney U-test,0.27063062314106534
wavelet2-HH_gldm_SmallDependenceEmphasis,0.5203479991763333,<,0.0439301114687004,0.48891481913652274,0.4882352941176471,mann-whitney U-test,0.27168034317121925
log-sigma-3-mm-3D_glcm_JointEntropy,0.520337703342714,<,4.214885661959491,0.5169194865810969,0.5176470588235293,mann-whitney U-test,0.27192298169030904
square_glrlm_ShortRunLowGrayLevelEmphasis,0.5202175852838218,>,0.1046296357733143,0.5029411764705882,0.5029171528588098,mann-whitney U-test,0.274764727726601
exponential_glcm_ClusterShade,0.5201901297275037,<,1.1690496549218636,0.5355892648774796,0.5323529411764706,mann-whitney U-test,0.27541700599692476
log-sigma-3-mm-3D_gldm_DependenceEntropy,0.5201661061157251,<,5.657229672238696,0.5180863477246208,0.5176470588235293,mann-whitney U-test,0.2759888048807638
log-sigma-0-6-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.5198709588853044,<,898811.206185567,0.5040840140023337,0.5117647058823529,mann-whitney U-test,0.2830785915275036
log-sigma-2-mm-3D_firstorder_Kurtosis,0.5196616102683781,<,4.165144153951967,0.5227537922987164,0.5205882352941176,mann-whitney U-test,0.2881815722979221
log-sigma-3-mm-3D_firstorder_RootMeanSquared,0.5196547463792985,>,299.0707360766299,0.5117647058823529,0.5122520420070011,mann-whitney U-test,0.28834992679545945
wavelet-HL_glszm_LargeAreaHighGrayLevelEmphasis,0.5194968769304689,<,394021.5505969301,0.5157526254375729,0.5205882352941176,mann-whitney U-test,0.2922403839901795
square_glcm_Autocorrelation,0.5194797172077699,>,4.285861334162609,0.5264705882352941,0.5274212368728122,mann-whitney U-test,0.2926653744292569
wavelet2-HH_glrlm_ShortRunEmphasis,0.519448829706912,<,0.4775031942240852,0.5157526254375729,0.5147058823529411,mann-whitney U-test,0.2934314025202107
log-sigma-3-mm-3D_firstorder_Mean,0.5194453977623722,>,-2.1880168723623723,0.5088235294117647,0.5064177362893816,mann-whitney U-test,0.293516599720654
log-sigma-2-mm-3D_glcm_ClusterShade,0.5192223213672866,>,-53.21299277793325,0.5117647058823529,0.5110851808634773,mann-whitney U-test,0.29909002652978633
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.5190301324730593,<,0.0599037975218753,0.5157526254375729,0.5117647058823529,mann-whitney U-test,0.3039480264992237
log-sigma-2-mm-3D_glszm_LargeAreaEmphasis,0.5189134463587068,<,32275.4299132948,0.5204200700116686,0.5205882352941176,mann-whitney U-test,0.3069229580456888
square_gldm_HighGrayLevelEmphasis,0.518450133845837,>,4.482296205808886,0.5264705882352941,0.5227537922987164,mann-whitney U-test,0.3189249115017283
original_glszm_LargeAreaHighGrayLevelEmphasis,0.5182854005079278,>,16518.243578666246,0.4970588235294118,0.4970828471411902,mann-whitney U-test,0.3232653354258528
wavelet-LH_firstorder_Skewness,0.5182098977280527,>,-0.1423038828139889,0.5088235294117647,0.5052508751458576,mann-whitney U-test,0.3252675048189704
square_glrlm_RunEntropy,0.5178083602168989,<,5.380524060996947,0.5239206534422404,0.5264705882352941,mann-whitney U-test,0.33605061253471036
wavelet2-HH_firstorder_Mean,0.5177843366051205,<,0.0034535543773848,0.5110851808634772,0.5117647058823529,mann-whitney U-test,0.33670296859037985
squareroot_glszm_ZoneEntropy,0.5177431532706431,>,7.083570721846743,0.5147058823529411,0.5157526254375729,mann-whitney U-test,0.33782318678423817
wavelet2-LL_glcm_Idn,0.51763676298991,<,0.9747686085850622,0.5064177362893816,0.5058823529411764,t-test,0.3415164347484245
wavelet2-LH_firstorder_Median,0.5175132129864781,>,0.0611774971792327,0.5176470588235295,0.5180863477246207,mann-whitney U-test,0.3441216757952965
