Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,24,3,0.9808510234049078,0.86002886002886,0.8186026936026936,0.4490415535224239,0.44880546075085326,0.6046511627906976,0.724343930019202,0.7763157894736842,0.5909090909090909,0.8518518518518519,0.6190476190476191,0.8363636363636363,0.7213804713804715,"[0.8363636363636363, 0.6190476190476191]","[0.8518518518518519, 0.5909090909090909]","[0.8440366972477065, 0.6046511627906976]","[0.8518518518518519, 0.5909090909090909]"
Gradient Boosting,25,3,0.9826854040802031,0.8596491228070176,0.7604517535169407,0.41944274252721114,0.4001315500986625,0.55,0.6946428571428571,0.7631578947368421,0.4489795918367347,0.912621359223301,0.7096774193548387,0.7768595041322314,0.6808004755300179,"[0.7768595041322314, 0.7096774193548387]","[0.912621359223301, 0.4489795918367347]","[0.8392857142857143, 0.55]","[0.912621359223301, 0.4489795918367347]"
Gradient Boosting,26,3,0.9797340930674264,0.8680351906158358,0.7972340425531915,0.3809575563712044,0.37767379679144386,0.5581395348837209,0.6877236135957066,0.7414965986394558,0.5106382978723404,0.85,0.6153846153846154,0.7870370370370371,0.6803191489361702,"[0.7870370370370371, 0.6153846153846154]","[0.85, 0.5106382978723404]","[0.8173076923076923, 0.5581395348837209]","[0.85, 0.5106382978723404]"
Gradient Boosting,27,3,0.978806798473812,0.8628005657708628,0.8150375939849623,0.32921653843545184,0.3235658274865868,0.45901639344262296,0.6598879435567545,0.7785234899328859,0.4,0.8947368421052632,0.5384615384615384,0.8292682926829268,0.6473684210526316,"[0.8292682926829268, 0.5384615384615384]","[0.8947368421052632, 0.4]","[0.8607594936708861, 0.45901639344262296]","[0.8947368421052632, 0.4]"
Gradient Boosting,28,3,0.9801919713691813,0.8462664714494875,0.8430944055944055,0.4582960798568501,0.43580914904082646,0.5633802816901409,0.7128012519561815,0.7905405405405406,0.45454545454545453,0.9326923076923077,0.7407407407407407,0.8016528925619835,0.6936188811188811,"[0.8016528925619835, 0.7407407407407407]","[0.9326923076923077, 0.45454545454545453]","[0.8622222222222222, 0.5633802816901409]","[0.9326923076923077, 0.45454545454545453]"
Gradient Boosting,29,3,0.9778371362061382,0.8657142857142858,0.8835568101623148,0.5968940687545148,0.5955363242997039,0.7073170731707317,0.7975837702302256,0.8378378378378378,0.7435897435897436,0.8715596330275229,0.6744186046511628,0.9047619047619048,0.8075746883086332,"[0.9047619047619048, 0.6744186046511628]","[0.8715596330275229, 0.7435897435897436]","[0.8878504672897196, 0.7073170731707317]","[0.8715596330275229, 0.7435897435897436]"
Gradient Boosting,30,3,0.9765786082474227,0.8583450210378681,0.7983548766157463,0.42705804550014076,0.4119530416221985,0.5245901639344263,0.702624300074209,0.8092105263157895,0.43243243243243246,0.9304347826086956,0.6666666666666666,0.8359375,0.681433607520564,"[0.8359375, 0.6666666666666666]","[0.9304347826086956, 0.43243243243243246]","[0.8806584362139918, 0.5245901639344263]","[0.9304347826086956, 0.43243243243243246]"
Gradient Boosting,31,4,0.97553468102743,0.861671469740634,0.8359788359788359,0.6038099156819596,0.5993031358885017,0.7012987012987013,0.7990798439228932,0.8466666666666667,0.6428571428571429,0.9259259259259259,0.7714285714285715,0.8695652173913043,0.7843915343915344,"[0.8695652173913043, 0.7714285714285715]","[0.9259259259259259, 0.6428571428571429]","[0.8968609865470852, 0.7012987012987013]","[0.9259259259259259, 0.6428571428571429]"
Gradient Boosting,32,4,0.9756323073252208,0.8760806916426513,0.8451571792693289,0.6020589386116529,0.5990263332595707,0.7073170731707317,0.7991130820399113,0.8410596026490066,0.6590909090909091,0.9158878504672897,0.7631578947368421,0.8672566371681416,0.7874893797790994,"[0.8672566371681416, 0.7631578947368421]","[0.9158878504672897, 0.6590909090909091]","[0.8909090909090909, 0.7073170731707317]","[0.9158878504672897, 0.6590909090909091]"
Gradient Boosting,33,4,0.9805471355779364,0.8571428571428571,0.8158837160311776,0.4905447601088139,0.4895451605949558,0.6444444444444445,0.7445523193096009,0.7837837837837838,0.6170212765957447,0.8613861386138614,0.6744186046511628,0.8285714285714286,0.739203707604803,"[0.8285714285714286, 0.6744186046511628]","[0.8613861386138614, 0.6170212765957447]","[0.8446601941747572, 0.6444444444444445]","[0.8613861386138614, 0.6170212765957447]"
Gradient Boosting,34,4,0.9782155183712701,0.8728323699421965,0.7837947060012124,0.4071814241916479,0.4053828499895681,0.5869565217391305,0.7021321070234114,0.7466666666666667,0.5510204081632653,0.8415841584158416,0.627906976744186,0.794392523364486,0.6963022832895533,"[0.794392523364486, 0.627906976744186]","[0.8415841584158416, 0.5510204081632653]","[0.8173076923076923, 0.5869565217391305]","[0.8415841584158416, 0.5510204081632653]"
Gradient Boosting,35,4,0.9766405269425105,0.8603667136812412,0.7766714082503556,0.2967077259477064,0.29089486042264545,0.4375,0.6431197478991597,0.7615894039735099,0.3783783783783784,0.8859649122807017,0.5185185185185185,0.8145161290322581,0.6321716453295401,"[0.8145161290322581, 0.5185185185185185]","[0.8859649122807017, 0.3783783783783784]","[0.8487394957983193, 0.4375]","[0.8859649122807017, 0.3783783783783784]"
Gradient Boosting,36,4,0.9794706394307071,0.8603988603988604,0.7589847259658581,0.308197448436654,0.2977022977022977,0.45714285714285713,0.6445006321112515,0.7432432432432432,0.38095238095238093,0.8867924528301887,0.5714285714285714,0.7833333333333333,0.6338724168912848,"[0.7833333333333333, 0.5714285714285714]","[0.8867924528301887, 0.38095238095238093]","[0.831858407079646, 0.45714285714285713]","[0.8867924528301887, 0.38095238095238093]"
Gradient Boosting,37,4,0.9829732545083132,0.8616262482168331,0.7948051948051947,0.38831491042430444,0.3834028743625405,0.5333333333333333,0.6902474526928675,0.7697368421052632,0.47619047619047616,0.8818181818181818,0.6060606060606061,0.8151260504201681,0.679004329004329,"[0.8151260504201681, 0.6060606060606061]","[0.8818181818181818, 0.47619047619047616]","[0.8471615720524017, 0.5333333333333333]","[0.8818181818181818, 0.47619047619047616]"
