split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
1,1,0.6980085000395775,0.4798015833728778,0.23975720789074356,0.6931710525353749,0.5091490299823633,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,2,0.693157381316026,0.4964000286768697,0.4425697598961713,0.6931511235237121,0.5197310405643739,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,3,0.6931498978535334,0.5024853287086191,0.4425697598961713,0.6931488859653473,0.5232308201058201,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,4,0.6931485189000766,0.467530272874071,0.4425697598961713,0.6931481130917867,0.5310295414462082,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,5,0.6931479770938556,0.4828706912149776,0.4425697598961713,0.6931477427482605,0.5324349647266313,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,6,0.6931476485729218,0.46669045026099365,0.4425697598961713,0.6931475492318472,0.5407021604938271,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,7,0.6931475009520849,0.5046685261113141,0.4425697598961713,0.6931474014123281,0.55855930335097,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,8,0.6931473627686501,0.5111822722322553,0.4425697598961713,0.6931473044554393,0.5474261463844797,0.0,0.0,0.4375,0.21875,0.28,1.0,0.0,0.28,0.0,0.5,"[0.0, 0.28]","[0.0, 1.0]","[0.0, 0.4375]","[0.0, 1.0]"
1,9,0.6931472886602084,0.49462991475459095,0.44285714285714284,0.6931472210089366,0.5243331128747795,-0.01193811798556119,-0.0014905906465436658,0.4356955380577428,0.2269801891201956,0.2833333333333333,0.9880952380952381,0.009259259259259259,0.27946127946127947,0.6666666666666666,0.4986772486772487,"[0.6666666666666666, 0.27946127946127947]","[0.009259259259259259, 0.9880952380952381]","[0.0182648401826484, 0.4356955380577428]","[0.009259259259259259, 0.9880952380952381]"
1,10,0.6931472306450208,0.48234324164700826,0.435506241331484,0.6931471983591716,0.5165343915343915,0.04804638834975459,0.022177419354838634,0.436046511627907,0.3391170058139535,0.35333333333333333,0.8928571428571429,0.14351851851851852,0.28846153846153844,0.775,0.5181878306878307,"[0.775, 0.28846153846153844]","[0.14351851851851852, 0.8928571428571429]","[0.2421875, 0.436046511627907]","[0.14351851851851852, 0.8928571428571429]"
1,11,0.6931471814711888,0.5296976297201615,0.3716216216216216,0.6931471423308054,0.544945987654321,0.0,0.0,0.0,0.4186046511627907,0.72,0.0,1.0,0.0,0.72,0.5,"[0.72, 0.0]","[1.0, 0.0]","[0.8372093023255814, 0.0]","[1.0, 0.0]"
