split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
3,1,3.9586684890337143,0.49416648084938514,0.3274021352313167,0.6670811232304413,0.46166125541125547,0.0,0.0,0.0,0.41338582677165353,0.7046979865771812,0.0,1.0,0.0,0.7046979865771812,0.5,"[0.7046979865771812, 0.0]","[1.0, 0.0]","[0.8267716535433071, 0.0]","[1.0, 0.0]"
3,2,3.5836931698599046,0.5201385911047838,0.35031055900621116,12925.52779495261,0.5607142857142856,0.04143239016203736,0.026143790849673332,0.4416403785488959,0.40361588819917915,0.40604026845637586,0.7954545454545454,0.24285714285714285,0.3056768558951965,0.7391304347826086,0.5191558441558441,"[0.7391304347826086, 0.3056768558951965]","[0.24285714285714285, 0.7954545454545454]","[0.3655913978494624, 0.4416403785488959]","[0.24285714285714285, 0.7954545454545454]"
3,3,3.4799235402596698,0.5163067528858853,0.33587786259541985,17168.992131601874,0.49710497835497836,0.02395399084165211,0.020821133450452223,0.192,0.4887813163481953,0.6610738255033557,0.13636363636363635,0.8809523809523809,0.32432432432432434,0.7088122605363985,0.5086580086580086,"[0.7088122605363985, 0.32432432432432434]","[0.8809523809523809, 0.13636363636363635]","[0.7855626326963907, 0.192]","[0.8809523809523809, 0.13636363636363635]"
3,4,3.4715447285688903,0.5048970000514571,0.3283582089552239,20822.933848585424,0.4906926406926407,-0.0009317273428304406,-0.0007902015013829811,0.16393442622950818,0.4743722764058933,0.6577181208053692,0.11363636363636363,0.8857142857142857,0.29411764705882354,0.7045454545454546,0.49967532467532466,"[0.7045454545454546, 0.29411764705882354]","[0.8857142857142857, 0.11363636363636363]","[0.7848101265822784, 0.16393442622950818]","[0.8857142857142857, 0.11363636363636363]"
3,5,3.4535114093213513,0.4984219824702836,0.3164721141374838,26111.049166736284,0.4564935064935065,-0.05122231217365358,-0.05067935561543324,0.22641509433962265,0.4724752817235871,0.587248322147651,0.20454545454545456,0.7476190476190476,0.2535211267605634,0.6916299559471366,0.4760822510822511,"[0.6916299559471366, 0.2535211267605634]","[0.7476190476190476, 0.20454545454545456]","[0.7185354691075515, 0.22641509433962265]","[0.7476190476190476, 0.20454545454545456]"
3,6,3.2916079099910576,0.5070942179379428,0.3156498673740053,14675.409597237707,0.46482683982683987,-0.061466949650995535,-0.058662780105665835,0.18181818181818182,0.4617700180614088,0.6073825503355704,0.14772727272727273,0.8,0.23636363636363636,0.691358024691358,0.4738636363636364,"[0.691358024691358, 0.23636363636363636]","[0.8, 0.14772727272727273]","[0.7417218543046358, 0.18181818181818182]","[0.8, 0.14772727272727273]"
3,7,3.1811702859098467,0.5395104715184988,0.3492462311557789,7993.062893995049,0.5495129870129871,0.04819131912446376,0.04359707658087064,0.22900763358778625,0.5059016662562588,0.6610738255033557,0.17045454545454544,0.8666666666666667,0.3488372093023256,0.7137254901960784,0.518560606060606,"[0.7137254901960784, 0.3488372093023256]","[0.8666666666666667, 0.17045454545454544]","[0.7827956989247312, 0.22900763358778625]","[0.8666666666666667, 0.17045454545454544]"
3,8,3.1537995018622986,0.5015677261110444,0.29708222811671087,17484.04741705282,0.5062229437229437,-0.05887144703814913,-0.058079787541134964,0.21656050955414013,0.4681891386039493,0.587248322147651,0.19318181818181818,0.7523809523809524,0.2463768115942029,0.6899563318777293,0.47278138528138525,"[0.6899563318777293, 0.2463768115942029]","[0.7523809523809524, 0.19318181818181818]","[0.7198177676537585, 0.21656050955414013]","[0.7523809523809524, 0.19318181818181818]"
3,9,3.166768972188826,0.49653522238040504,0.34285714285714286,9621.145709833712,0.5140422077922078,-0.029653821600048928,-0.026668367997958242,0.16923076923076924,0.4687355562892044,0.6375838926174496,0.125,0.8523809523809524,0.2619047619047619,0.69921875,0.4886904761904762,"[0.69921875, 0.2619047619047619]","[0.8523809523809524, 0.125]","[0.7682403433476395, 0.16923076923076924]","[0.8523809523809524, 0.125]"
3,10,3.0627058365989934,0.4742783142656215,0.2812903225806452,8542.785511100716,0.5245400432900433,-0.00592899317373075,-0.005423472283534236,0.19548872180451127,0.4821936049627308,0.6409395973154363,0.14772727272727273,0.8476190476190476,0.28888888888888886,0.7035573122529645,0.49767316017316016,"[0.7035573122529645, 0.28888888888888886]","[0.8476190476190476, 0.14772727272727273]","[0.7688984881209503, 0.19548872180451127]","[0.8476190476190476, 0.14772727272727273]"
3,11,2.9967644061654903,0.4954992195674174,0.31474597273853777,1707.972461596369,0.5181006493506495,0.061686350585629525,0.04638116308470275,0.4375,0.455762987012987,0.4563758389261745,0.7159090909090909,0.3476190476190476,0.315,0.7448979591836735,0.5317640692640693,"[0.7448979591836735, 0.315]","[0.3476190476190476, 0.7159090909090909]","[0.474025974025974, 0.4375]","[0.3476190476190476, 0.7159090909090909]"
3,12,2.807329508682305,0.48025248280475463,0.2872340425531915,4427.667043540842,0.5012987012987014,-0.0005615525126220463,-0.0005595970900951208,0.27710843373493976,0.4990193331465396,0.5973154362416108,0.26136363636363635,0.7380952380952381,0.2948717948717949,0.7045454545454546,0.49972943722943725,"[0.7045454545454546, 0.2948717948717949]","[0.7380952380952381, 0.26136363636363635]","[0.7209302325581395, 0.27710843373493976]","[0.7380952380952381, 0.26136363636363635]"
3,13,2.6415467954611116,0.5064046928869144,0.3333333333333333,3451.6490655388347,0.4889610389610389,0.0024381797929418623,0.002252957006070311,0.2074074074074074,0.4876516429661766,0.6409395973154363,0.1590909090909091,0.8428571428571429,0.2978723404255319,0.7051792828685259,0.500974025974026,"[0.7051792828685259, 0.2978723404255319]","[0.8428571428571429, 0.1590909090909091]","[0.7678958785249458, 0.2074074074074074]","[0.8428571428571429, 0.1590909090909091]"
3,14,2.7190388345435212,0.508262293957222,0.32041343669250644,2865.830495278707,0.48295454545454547,-0.06370153463341705,-0.06293867218962146,0.21518987341772153,0.46604242529333567,0.5838926174496645,0.19318181818181818,0.7476190476190476,0.24285714285714285,0.6885964912280702,0.4704004329004329,"[0.6885964912280702, 0.24285714285714285]","[0.7476190476190476, 0.19318181818181818]","[0.7168949771689498, 0.21518987341772153]","[0.7476190476190476, 0.19318181818181818]"
3,15,2.620566328661892,0.4982418826435224,0.3001293661060802,1570.1529888730222,0.5279220779220779,-0.01068410155507349,-0.008895379713223628,0.15,0.46785714285714286,0.6577181208053692,0.10227272727272728,0.8904761904761904,0.28125,0.7030075187969925,0.49637445887445886,"[0.7030075187969925, 0.28125]","[0.8904761904761904, 0.10227272727272728]","[0.7857142857142857, 0.15]","[0.8904761904761904, 0.10227272727272728]"
3,16,2.5720540735662225,0.4953036826126481,0.3023255813953488,1808.041984559887,0.5186147186147186,-0.014611945157271811,-0.013218938671750946,0.183206106870229,0.4765492899942543,0.6409395973154363,0.13636363636363635,0.8523809523809524,0.27906976744186046,0.7019607843137254,0.49437229437229435,"[0.7019607843137254, 0.27906976744186046]","[0.8523809523809524, 0.13636363636363635]","[0.7698924731182796, 0.183206106870229]","[0.8523809523809524, 0.13636363636363635]"
3,17,2.280555048485374,0.5411107871220047,0.34564643799472294,330.87653983696794,0.5337391774891774,0.03376846670244806,0.030368763557483858,0.2153846153846154,0.4982502476064708,0.6577181208053692,0.1590909090909091,0.8666666666666667,0.3333333333333333,0.7109375,0.5128787878787879,"[0.7109375, 0.3333333333333333]","[0.8666666666666667, 0.1590909090909091]","[0.7811158798283262, 0.2153846153846154]","[0.8666666666666667, 0.1590909090909091]"
3,18,2.435189360245149,0.5128213924289463,0.32894736842105265,397.97053738556184,0.526839826839827,-0.020596694674757686,-0.018738921245885054,0.18181818181818182,0.4745297805642633,0.6375838926174496,0.13636363636363635,0.8476190476190476,0.2727272727272727,0.7007874015748031,0.491991341991342,"[0.7007874015748031, 0.2727272727272727]","[0.8476190476190476, 0.13636363636363635]","[0.7672413793103449, 0.18181818181818182]","[0.8476190476190476, 0.13636363636363635]"
3,19,2.404431256580578,0.5246016363355689,0.3363754889178618,382.89439765898976,0.5048430735930737,-0.02364854722765566,-0.021136232626657314,0.17054263565891473,0.47071028999219827,0.6409395973154363,0.125,0.8571428571428571,0.2682926829268293,0.7003891050583657,0.49107142857142855,"[0.7003891050583657, 0.2682926829268293]","[0.8571428571428571, 0.125]","[0.7708779443254818, 0.17054263565891473]","[0.8571428571428571, 0.125]"
3,20,2.2175928680704984,0.5165194422051079,0.3076923076923077,577.4989069585232,0.5024350649350651,-0.04691443948909093,-0.045768209967561146,0.2119205298013245,0.4722523997321229,0.6006711409395973,0.18181818181818182,0.7761904761904762,0.25396825396825395,0.6936170212765957,0.479004329004329,"[0.6936170212765957, 0.25396825396825395]","[0.7761904761904762, 0.18181818181818182]","[0.7325842696629213, 0.2119205298013245]","[0.7761904761904762, 0.18181818181818182]"
3,21,2.034009891518039,0.5590144251385054,0.35638297872340424,260.190958967101,0.582521645021645,0.16211109241516614,0.15183764385595833,0.3333333333333333,0.5662299854439592,0.6912751677852349,0.26136363636363635,0.8714285714285714,0.46,0.7379032258064516,0.5663961038961038,"[0.7379032258064516, 0.46]","[0.8714285714285714, 0.26136363636363635]","[0.7991266375545851, 0.3333333333333333]","[0.8714285714285714, 0.26136363636363635]"
