,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
square_firstorder_Kurtosis,0.6728601825794496,>,12.516613206619793,0.6558823529411765,0.6581096849474912,mann-whitney U-test,9.759712834313844e-21
square_glszm_SizeZoneNonUniformityNormalized,0.6720176401949345,>,0.1696460236367644,0.638235294117647,0.6394399066511085,mann-whitney U-test,1.498543202436402e-20
log-sigma-2-mm-3D_glcm_MCC,0.6712574644793741,>,0.6363232204837456,0.6264705882352941,0.6254375729288215,mann-whitney U-test,2.2025966945313318e-20
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,0.6712403047566751,>,0.016735792679674,0.6205882352941177,0.6219369894982497,mann-whitney U-test,2.2217865443852766e-20
log-sigma-3-mm-3D_glrlm_GrayLevelNonUniformity,0.6710995950305443,<,482.0307266477421,0.617269544924154,0.6176470588235294,mann-whitney U-test,2.3855068637852688e-20
wavelet2-LL_firstorder_Kurtosis,0.6710824353078454,>,4.011869115767981,0.6411764705882353,0.6417736289381564,mann-whitney U-test,2.406271478364248e-20
square_glszm_HighGrayLevelZoneEmphasis,0.6696032672112018,>,12.092537313432835,0.6294117647058823,0.6289381563593932,mann-whitney U-test,5.062284717659512e-20
log-sigma-2-mm-3D_firstorder_Kurtosis,0.6695758116548836,>,4.984538588087722,0.6411764705882353,0.6417736289381564,mann-whitney U-test,5.1331115653330104e-20
exponential_glrlm_RunPercentage,0.6692309012286362,>,0.0931600882569257,0.6205882352941177,0.6219369894982497,mann-whitney U-test,6.099670161550345e-20
square_glszm_SmallAreaEmphasis,0.6683300157869448,>,0.4099145524547445,0.6352941176470588,0.6347724620770128,mann-whitney U-test,9.556630622323087e-20
exponential_glrlm_ShortRunEmphasis,0.6680760518910014,>,0.1210184859282006,0.6264705882352941,0.6266044340723453,mann-whitney U-test,1.0841564757594469e-19
log-sigma-3-mm-3D_glcm_MCC,0.667883862996774,>,0.7631122573944854,0.6264705882352941,0.6254375729288215,mann-whitney U-test,1.1926109685891492e-19
exponential_glcm_DifferenceAverage,0.666778776854966,>,0.0194314248056437,0.6205882352941177,0.6207701283547258,mann-whitney U-test,1.392005039545826e-19
original_firstorder_Kurtosis,0.6672901365913927,>,4.18463787557471,0.6470588235294118,0.6464410735122521,mann-whitney U-test,1.6000146491490172e-19
log-sigma-3-mm-3D_glcm_ClusterShade,0.6671356990871027,<,-2.5067598168611003,0.6242707117852976,0.6294117647058823,mann-whitney U-test,1.7268271182698606e-19
