modality,range
image_t2,534.6520356276538
image_t2,511.11347976404176
image_t2,542.2187881779462
image_t2,551.1923143733042
image_dwi,1897.0747280067746
image_dwi,1897.0747280067746
image_dwi,1897.0747280067746
image_dwi,1518.0432004830577
image_adc,2888.0
image_adc,2888.0
image_adc,43498.0
image_adc,2888.0
