Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_balanced_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy,Ensemble
1,1,0.7605911084529505,0.5554107728020772,0.7974646020785381,0.1612466148785544,0.08965188364330001,0.14814814814814814,0.4913402611244338,0.7228915662650602,0.5331920903954802,0.08333333333333333,0.9830508474576272,0.6666666666666666,0.725,"[0.725, 0.6666666666666666]","[0.9830508474576272, 0.08333333333333333]","[0.8345323741007195, 0.14814814814814814]","[0.9830508474576272, 0.08333333333333333]",SVM + SVM + SVM
2,1,0.7801056706423938,0.5842924823631531,0.74852237545736,0.2578882027219766,0.21910444843818722,0.3391003460207612,0.5910785214080798,0.7463479415670651,0.5887322333239515,0.23444976076555024,0.9430147058823529,0.6125,0.7622585438335809,"[0.7622585438335809, 0.6125]","[0.9430147058823529, 0.23444976076555024]","[0.8430566967953985, 0.3391003460207612]","[0.9430147058823529, 0.23444976076555024]",SVM + SVM + SVM
1,1,0.7577399380804953,0.5511907234679513,0.8008300202273837,0.38430440284319917,0.3500092131932928,0.47530864197530864,0.6650047483380817,0.7724230254350736,0.6490505335844319,0.35648148148148145,0.9416195856873822,0.7129629629629629,0.7824726134585289,"[0.7824726134585289, 0.7129629629629629]","[0.9416195856873822, 0.35648148148148145]","[0.8547008547008547, 0.47530864197530864]","[0.9416195856873822, 0.35648148148148145]",SVM + SVM + Logistic Regression
2,1,0.7781628536885913,0.5837901717342603,0.7625510132282578,0.33053227477386565,0.3254383179209108,0.4878048780487805,0.6607889825600103,0.749003984063745,0.6509727694905714,0.430622009569378,0.8713235294117647,0.5625,0.7993254637436762,"[0.7993254637436762, 0.5625]","[0.8713235294117647, 0.430622009569378]","[0.8337730870712401, 0.4878048780487805]","[0.8713235294117647, 0.430622009569378]",SVM + SVM + Logistic Regression
1,1,0.8097587719298245,0.6706626706626707,0.7977610378740322,0.20810647630694598,0.11930528427387421,0.17959183673469387,0.5093315468701491,0.7309236947791165,0.5443345888261142,0.10185185185185185,0.9868173258003766,0.7586206896551724,0.7298050139275766,"[0.7298050139275766, 0.7586206896551724]","[0.9868173258003766, 0.10185185185185185]","[0.8390712570056045, 0.17959183673469387]","[0.9868173258003766, 0.10185185185185185]",SVM + SVM + Random Forest
2,1,0.820216049382716,0.6869647749088634,0.744230227976358,0.2791053997230877,0.2325673143308019,0.34507042253521125,0.5964304649500933,0.7529880478087649,0.5933278215592457,0.23444976076555024,0.9522058823529411,0.6533333333333333,0.7640117994100295,"[0.7640117994100295, 0.6533333333333333]","[0.9522058823529411, 0.23444976076555024]","[0.8477905073649754, 0.34507042253521125]","[0.9522058823529411, 0.23444976076555024]",SVM + SVM + Random Forest
1,1,0.7188379538418238,0.5109404484404485,0.7541501011369185,0.31079864006475616,0.3106954361999379,0.5136363636363637,0.6553001552527169,0.713520749665328,0.6570543000627747,0.5231481481481481,0.7909604519774012,0.5044642857142857,0.8030592734225621,"[0.8030592734225621, 0.5044642857142857]","[0.7909604519774012, 0.5231481481481481]","[0.7969639468690702, 0.5136363636363637]","[0.7909604519774012, 0.5231481481481481]",SVM + SVM + Naive Bayes
2,1,0.7409310990211807,0.5224293955397245,0.714369898677174,0.30229422808491635,0.2891355546501575,0.4411764705882353,0.6391131066491778,0.747675962815405,0.62795524908528,0.3588516746411483,0.8970588235294118,0.5725190839694656,0.7845659163987139,"[0.7845659163987139, 0.5725190839694656]","[0.8970588235294118, 0.3588516746411483]","[0.8370497427101201, 0.4411764705882353]","[0.8970588235294118, 0.3588516746411483]",SVM + SVM + Naive Bayes
1,1,0.7667464114832536,0.5430226339317249,0.7644730417800097,0.1597928690935633,0.1002710027100272,0.1746031746031746,0.5035656774787209,0.7215528781793842,0.5377432517263026,0.10185185185185185,0.9736346516007532,0.6111111111111112,0.7271448663853727,"[0.7271448663853727, 0.6111111111111112]","[0.9736346516007532, 0.10185185185185185]","[0.8325281803542673, 0.1746031746031746]","[0.9736346516007532, 0.10185185185185185]",SVM + SVM + KNN
2,1,0.7866839296924043,0.5827981082421968,0.723895299746693,0.21249305208047217,0.18777132472887448,0.32558139534883723,0.5785583325291904,0.7304116865869854,0.5777028215592457,0.23444976076555024,0.9209558823529411,0.532608695652174,0.7579425113464447,"[0.7579425113464447, 0.532608695652174]","[0.9209558823529411, 0.23444976076555024]","[0.8315352697095436, 0.32558139534883723]","[0.9209558823529411, 0.23444976076555024]",SVM + SVM + KNN
