Ensemble,Folds,Avg_Train_AUC,Avg_Train_F1,Avg_Val_AUC,Avg_Val_MCC,Avg_Val_Kappa,Avg_Val_F1_Binary,Avg_Val_F1_Macro,Avg_Val_Accuracy,Avg_Val_BalancedAccuracy,Avg_Val_Sensitivity,Avg_Val_Specificity,Avg_Val_PPV,Avg_Val_NPV,Avg_Per_Class_Precision,Avg_Per_Class_Recall,Avg_Per_Class_F1,Avg_Per_Class_Accuracy
Random Forest + Random Forest + Random Forest,2,1.0,1.0,0.747246222234953,0.20599999792031254,0.1640261184416128,0.27329610094115214,0.5541820151754333,0.7312943673765446,0.5655190929183918,0.18203969519758995,0.9489984906391935,0.5833333333333334,0.7459407096621054,"0.746, 0.583","0.949, 0.182","0.835, 0.273","0.949, 0.182"
Random Forest + Random Forest + Gradient Boosting,2,0.9996036531308274,0.9840776480698414,0.7592786889174954,0.23259264768608046,0.19316601230581393,0.3149375236652783,0.5751641872201512,0.734667754684075,0.5783784083797694,0.21699450646819068,0.9397623102913482,0.5962648556876061,0.7522319348612252,"0.752, 0.596","0.940, 0.217","0.835, 0.315","0.940, 0.217"
Gradient Boosting + Random Forest + Random Forest,2,0.9995135343374253,0.9585165476357187,0.7540610888981805,0.19757714577351296,0.15894538349223858,0.2727272727272727,0.5526278437818299,0.7279743142556947,0.5639579122260191,0.18443203969519759,0.9434837847568407,0.5663919413919414,0.7454315400939624,"0.745, 0.566","0.943, 0.184","0.833, 0.273","0.943, 0.184"
Gradient Boosting + Random Forest + Gradient Boosting,2,0.9991171874682527,0.9425941957055601,0.7654576214525934,0.2420688576823949,0.20399493103002542,0.3276583448913546,0.5819103446237888,0.7366597865565849,0.583390136166019,0.22887869927343613,0.937901573058602,0.6003125,0.7547371182446598,"0.755, 0.600","0.938, 0.229","0.836, 0.328","0.938, 0.229"
Random Forest + Gradient Boosting + Random Forest,2,0.9989039294109585,0.9685788545437668,0.7471148474335004,0.23940539308931896,0.20019299327691803,0.3173525820584644,0.5775358323887736,0.7379504738742486,0.5816341540017551,0.21985202906255535,0.9434162789409549,0.6023693253752939,0.7537866737363026,"0.754, 0.602","0.943, 0.220","0.838, 0.317","0.943, 0.220"
Random Forest + Gradient Boosting + Gradient Boosting,2,0.998507582541786,0.9526565026136083,0.7563722444908565,0.25529087760625935,0.21884378283966693,0.3454057679409792,0.5912750262774613,0.739326495890601,0.590257119943554,0.24539252170831116,0.935121718178797,0.6065482796892342,0.758196320163528,"0.758, 0.607","0.935, 0.245","0.837, 0.345","0.935, 0.245"
Gradient Boosting + Gradient Boosting + Random Forest,2,0.9984174637483838,0.9270954021794855,0.7545214912491738,0.22179510944774017,0.17921139516193302,0.28984848484848486,0.5632533287001797,0.7346250873347306,0.572209053715603,0.19631623250044306,0.9481018749307633,0.59878663003663,0.7491679957124766,"0.749, 0.599","0.948, 0.196","0.837, 0.290","0.948, 0.196"
Gradient Boosting + Gradient Boosting + Gradient Boosting,2,0.9980211168792112,0.911173050249327,0.7623960041675826,0.25269532477510726,0.21483567783936386,0.33939559688226445,0.5884751136299307,0.739326495890601,0.5880472796677307,0.2382154882154882,0.9378790711199734,0.6085294117647059,0.7569572405144941,"0.757, 0.609","0.938, 0.238","0.838, 0.339","0.938, 0.238"
Random Forest + Random Forest + KNN,2,0.9617277599315587,0.8840966483011938,0.7263195956843176,0.16185204408812257,0.13327891861399482,0.2606209150326797,0.5423556020880802,0.7160007893459629,0.5540675910532624,0.1794922913343966,0.928642890772128,0.5049705449189985,0.7411746408527761,"0.741, 0.505","0.929, 0.179","0.824, 0.261","0.929, 0.179"
Gradient Boosting + Random Forest + KNN,2,0.9612412942689837,0.8426131959369123,0.7324034010200383,0.17957526088973944,0.14880534735136175,0.27148475432122743,0.5497726183911603,0.7219715515448247,0.5604522255822466,0.1867468545100124,0.9341575966544811,0.5267942583732057,0.7440637243705748,"0.744, 0.527","0.934, 0.187","0.828, 0.271","0.934, 0.187"
