model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
base-efficientnet-b7,3,21,1.3283583796980374,0.7341469271539082,0.5123287671232877,1.2514613420814251,0.6689393939393938,0.2532031711708741,0.2391905185740385,0.5112107623318386,0.6094927806297263,0.6342281879194631,0.6477272727272727,0.6285714285714286,0.4222222222222222,0.8098159509202454,0.6381493506493506,"[0.8098159509202454, 0.4222222222222222]","[0.6285714285714286, 0.6477272727272727]","[0.707774798927614, 0.5112107623318386]","[0.6285714285714286, 0.6477272727272727]"
base-efficientnet-b7,4,36,0.3646781500705973,0.9647012162876786,0.86,1.99328977728507,0.7279142426201249,0.2655824829600334,0.2608974920440279,0.4353741496598639,0.6280542454562819,0.7278688524590164,0.3809523809523809,0.8597285067873304,0.5079365079365079,0.7851239669421488,0.6203404438698557,"[0.7851239669421488, 0.5079365079365079]","[0.8597285067873304, 0.38095238095238093]","[0.8207343412526998, 0.43537414965986393]","[0.8597285067873304, 0.38095238095238093]"
base-efficientnet-b7,5,19,1.844103113258096,0.623264225939285,0.4143426294820717,1.1810577185855948,0.7422674677347574,0.1312007706289952,0.0338446939743791,0.0465116279069767,0.4428636570907432,0.7248322147651006,0.0238095238095238,1.0,1.0,0.722972972972973,0.5119047619047619,"[0.722972972972973, 1.0]","[1.0, 0.023809523809523808]","[0.8392156862745098, 0.046511627906976744]","[1.0, 0.023809523809523808]"
base-efficientnet-b8,1,36,0.3692460018021818,0.964891318077694,0.8567335243553008,1.9600652137092485,0.712852733686067,0.2138443426239282,0.2009132420091324,0.3636363636363636,0.592074592074592,0.72,0.2857142857142857,0.8888888888888888,0.5,0.7619047619047619,0.5873015873015872,"[0.7619047619047619, 0.5]","[0.8888888888888888, 0.2857142857142857]","[0.8205128205128205, 0.36363636363636365]","[0.8888888888888888, 0.2857142857142857]"
base-efficientnet-b8,2,17,2.4341086673599537,0.5584375213500035,0.3805774278215223,0.7496394083017109,0.7377680043980208,0.2483728488533771,0.1851130853360706,0.2803738317757009,0.5617755105925347,0.7424749163879598,0.1764705882352941,0.9672897196261684,0.6818181818181818,0.7472924187725631,0.5718801539307312,"[0.7472924187725631, 0.6818181818181818]","[0.9672897196261683, 0.17647058823529413]","[0.8431771894093686, 0.2803738317757009]","[0.9672897196261683, 0.17647058823529413]"
base-efficientnet-b8,3,18,1.945624148028128,0.6305432153822403,0.4304461942257218,2.1063621846264,0.7585497835497835,0.2061581977540609,0.1096050138463782,0.1632653061224489,0.4993033357921481,0.7248322147651006,0.0909090909090909,0.9904761904761904,0.8,0.7222222222222222,0.5406926406926407,"[0.7222222222222222, 0.8]","[0.9904761904761905, 0.09090909090909091]","[0.8353413654618473, 0.16326530612244897]","[0.9904761904761905, 0.09090909090909091]"
base-efficientnet-b8,4,19,1.6307500793642054,0.674579518841814,0.4671140939597315,1.0289061049302255,0.6855742296918768,0.2578441122547565,0.246070612378154,0.4952380952380952,0.6151190476190476,0.6524590163934426,0.6190476190476191,0.665158371040724,0.4126984126984127,0.8212290502793296,0.6421029950441715,"[0.8212290502793296, 0.4126984126984127]","[0.665158371040724, 0.6190476190476191]","[0.735, 0.49523809523809526]","[0.665158371040724, 0.6190476190476191]"
base-efficientnet-b8,5,17,2.320032892163041,0.554502539160289,0.3550913838120104,0.748261335074333,0.7313084112149534,0.2723000436346257,0.1982375419168682,0.5174825174825175,0.5361606135799684,0.5369127516778524,0.8809523809523809,0.4018691588785046,0.3663366336633663,0.8958333333333334,0.6414107699154428,"[0.8958333333333334, 0.36633663366336633]","[0.40186915887850466, 0.8809523809523809]","[0.5548387096774193, 0.5174825174825175]","[0.40186915887850466, 0.8809523809523809]"
base-resnet,1,2,0.6093871514002482,0.6924815392651211,0.3518518518518518,0.5689758189022541,0.7562279541446209,0.3837071069351724,0.3822923816060398,0.5443037974683544,0.6907039349332722,0.76,0.5119047619047619,0.8564814814814815,0.581081081081081,0.8185840707964602,0.6841931216931216,"[0.8185840707964602, 0.581081081081081]","[0.8564814814814815, 0.5119047619047619]","[0.8371040723981901, 0.5443037974683544]","[0.8564814814814815, 0.5119047619047619]"
base-resnet,2,9,0.3773241491179399,0.8974892395982783,0.746268656716418,0.7912725747279182,0.7929631665750412,0.3260769042064698,0.2868689545514774,0.4098360655737705,0.6292877806860449,0.7591973244147158,0.2941176470588235,0.9439252336448598,0.6756756756756757,0.7709923664122137,0.6190214403518417,"[0.7709923664122137, 0.6756756756756757]","[0.9439252336448598, 0.29411764705882354]","[0.8487394957983193, 0.4098360655737705]","[0.9439252336448598, 0.29411764705882354]"
