split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
5,1,0.6680126820943518,0.5138436176988498,0.13870246085011187,0.6515696092740001,0.5876724521584334,0.07982770421903479,0.05980209379033419,0.16981132075471697,0.4951097420100115,0.7046979865771812,0.10714285714285714,0.9392523364485982,0.4090909090909091,0.7282608695652174,0.5231975967957276,"[0.7282608695652174, 0.4090909090909091]","[0.9392523364485982, 0.10714285714285714]","[0.8204081632653061, 0.16981132075471697]","[0.9392523364485982, 0.10714285714285714]"
5,2,0.6549133988664472,0.5535948447042074,0.059782608695652176,0.6452950797225004,0.5486203827325323,0.048768841177455724,0.02978818950677331,0.10309278350515463,0.46437204305518254,0.7080536912751678,0.05952380952380952,0.9626168224299065,0.38461538461538464,0.7228070175438597,0.511070315976858,"[0.7228070175438597, 0.38461538461538464]","[0.9626168224299065, 0.05952380952380952]","[0.8256513026052105, 0.10309278350515463]","[0.9626168224299065, 0.05952380952380952]"
5,3,0.6496024973777289,0.5969836614997905,0.08970976253298153,0.6350901482889316,0.5869492656875834,0.08233926507877276,0.07550127359414815,0.25196850393700787,0.5247049342712757,0.6812080536912751,0.19047619047619047,0.8738317757009346,0.37209302325581395,0.7333333333333333,0.5321539830885625,"[0.7333333333333333, 0.37209302325581395]","[0.8738317757009346, 0.19047619047619047]","[0.7974413646055437, 0.25196850393700787]","[0.8738317757009346, 0.19047619047619047]"
5,4,0.6381150646733365,0.6170074352607791,0.16161616161616163,0.6564973864779377,0.5667000445037829,-0.00657456755137458,-0.006385852879774001,0.22535211267605634,0.491530681888689,0.6308724832214765,0.19047619047619047,0.8037383177570093,0.27586206896551724,0.7166666666666667,0.4971072541165999,"[0.7166666666666667, 0.27586206896551724]","[0.8037383177570093, 0.19047619047619047]","[0.7577092511013216, 0.22535211267605634]","[0.8037383177570093, 0.19047619047619047]"
5,5,0.6317993949435515,0.6461558373438783,0.26180257510729615,0.6492554057364496,0.6044170004450378,0.11785440785427334,0.10684408141756141,0.272,0.5393970276008493,0.6946308724832215,0.20238095238095238,0.8878504672897196,0.4146341463414634,0.7392996108949417,0.545115709835336,"[0.7392996108949417, 0.4146341463414634]","[0.8878504672897196, 0.20238095238095238]","[0.8067940552016986, 0.272]","[0.8878504672897196, 0.20238095238095238]"
5,6,0.6083323439325945,0.7000384876073311,0.2916666666666667,0.6399113518879718,0.6122607921673343,0.08238968265908843,0.05473591029802305,0.14,0.48330645161290325,0.7114093959731543,0.08333333333333333,0.9579439252336449,0.4375,0.7269503546099291,0.5206386292834891,"[0.7269503546099291, 0.4375]","[0.9579439252336449, 0.08333333333333333]","[0.8266129032258065, 0.14]","[0.9579439252336449, 0.08333333333333333]"
5,7,0.5889923754031964,0.7377801846723956,0.43478260869565216,0.6295103584259949,0.6574877614597242,0.1690199724528854,0.16496101364522409,0.3611111111111111,0.5787856440511308,0.6912751677852349,0.30952380952380953,0.8411214953271028,0.43333333333333335,0.7563025210084033,0.5753226524254562,"[0.7563025210084033, 0.43333333333333335]","[0.8411214953271028, 0.30952380952380953]","[0.7964601769911505, 0.3611111111111111]","[0.8411214953271028, 0.30952380952380953]"
5,8,0.5487218472654133,0.7793502065728659,0.5433715220949263,0.7024356561319139,0.6100912327547843,0.13816424144030318,0.12921456553850097,0.3053435114503817,0.5548222933595994,0.6946308724832215,0.23809523809523808,0.8738317757009346,0.425531914893617,0.7450199203187251,0.5559635068980864,"[0.7450199203187251, 0.425531914893617]","[0.8738317757009346, 0.23809523809523808]","[0.8043010752688172, 0.3053435114503817]","[0.8738317757009346, 0.23809523809523808]"
5,9,0.5091311149980978,0.8131205275186394,0.6247987117552335,0.7971503081537733,0.599799732977303,0.10021692113485146,0.08991287164286355,0.4188034188034188,0.521556405534306,0.5436241610738255,0.5833333333333334,0.5280373831775701,0.32666666666666666,0.7635135135135135,0.5556853582554517,"[0.7635135135135135, 0.32666666666666666]","[0.5280373831775701, 0.5833333333333334]","[0.6243093922651933, 0.4188034188034188]","[0.5280373831775701, 0.5833333333333334]"
5,10,0.4838253580864376,0.8237165404749984,0.6267716535433071,0.7305546303298449,0.6237205162438808,0.06642466695790579,0.06546801266352065,0.2953020134228188,0.5302013422818792,0.6476510067114094,0.2619047619047619,0.7990654205607477,0.3384615384615385,0.7339055793991416,0.5304850912327548,"[0.7339055793991416, 0.3384615384615385]","[0.7990654205607477, 0.2619047619047619]","[0.7651006711409396, 0.2953020134228188]","[0.7990654205607477, 0.2619047619047619]"
5,11,0.4110293001767105,0.8842681053538646,0.7377777777777778,0.7876250735615324,0.6149310191366265,0.13350382287155188,0.13234515616728426,0.35294117647058826,0.5647324392510955,0.6677852348993288,0.32142857142857145,0.8037383177570093,0.391304347826087,0.7510917030567685,0.5625834445927904,"[0.7510917030567685, 0.391304347826087]","[0.8037383177570093, 0.32142857142857145]","[0.7765237020316027, 0.35294117647058826]","[0.8037383177570093, 0.32142857142857145]"
