Classifier,oof_auc,oof_auc_ci_low,oof_auc_ci_high,n_unique_cases,n_unique_patients
Random Forest,0.814821340629275,0.7908515858919318,0.8380834674051997,1500,1476
SVM,0.8081794801641585,0.7840236286621929,0.8323020663081695,1500,1476
Gradient Boosting,0.806441586867305,0.781147239839332,0.8299422630416065,1500,1476
Logistic Regression,0.7976820793433652,0.7717682607452893,0.823132574953063,1500,1476
KNN,0.7790752393980849,0.7528549963458873,0.8028517242410946,1500,1476
Naive Bayes,0.76362024623803,0.7348940533989973,0.7934049315929865,1500,1476
