Classifier,n_fold_evaluations,n_unique_cases,n_unique_patients,val_auc_mean,val_auc_std,val_auc_median,val_auc_iqr,val_accuracy_mean,val_accuracy_std,val_accuracy_median,val_accuracy_iqr,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_median,val_balanced_accuracy_iqr,val_f1_binary_mean,val_f1_binary_std,val_f1_binary_median,val_f1_binary_iqr,val_mcc_mean,val_mcc_std,val_mcc_median,val_mcc_iqr,val_kappa_mean,val_kappa_std,val_kappa_median,val_kappa_iqr,val_sensitivity_mean,val_sensitivity_std,val_sensitivity_median,val_sensitivity_iqr,val_specificity_mean,val_specificity_std,val_specificity_median,val_specificity_iqr,val_ppv_mean,val_ppv_std,val_ppv_median,val_ppv_iqr,val_npv_mean,val_npv_std,val_npv_median,val_npv_iqr,oof_auc,oof_auc_ci_low,oof_auc_ci_high,oof_accuracy,oof_accuracy_ci_low,oof_accuracy_ci_high,oof_balanced_accuracy,oof_balanced_accuracy_ci_low,oof_balanced_accuracy_ci_high,oof_f1_binary,oof_f1_binary_ci_low,oof_f1_binary_ci_high,oof_mcc,oof_mcc_ci_low,oof_mcc_ci_high,oof_kappa,oof_kappa_ci_low,oof_kappa_ci_high,oof_sensitivity,oof_sensitivity_ci_low,oof_sensitivity_ci_high,oof_specificity,oof_specificity_ci_low,oof_specificity_ci_high,oof_ppv,oof_ppv_ci_low,oof_ppv_ci_high,oof_npv,oof_npv_ci_low,oof_npv_ci_high
Random Forest,50,1500,1476,0.808271004740194,0.022924045042029082,0.803895332865128,0.03280507560238177,0.7713391549543896,0.019381225658156996,0.7703820598006645,0.022568468669213138,0.6650288363054493,0.024704575330380566,0.6666185729851077,0.028938419607919874,0.5072892789261323,0.04625779289477669,0.512418896999189,0.047408403217890416,0.38491167546821003,0.05052125613586898,0.38227740029911245,0.060498064998633305,0.3682758621759687,0.05091364348668591,0.37280431665506997,0.0618643587111643,0.4188838065175043,0.05300220222529747,0.425,0.06345823159037106,0.9111738660933946,0.019889884020956743,0.9120370370370372,0.028633099308446597,0.6515084156668283,0.0613403959611449,0.6356421356421356,0.08616579167331906,0.7986638009643475,0.02458009139600443,0.8041289708183117,0.030085909193709903,0.814821340629275,0.7908515858919318,0.8380834674051997,0.7806666666666666,0.7618721176436465,0.7981379368924932,0.6755403556771545,0.6508867748607672,0.7008229260382572,0.5279770444763271,0.483154990366425,0.5726375176304654,0.41060291796686993,0.3552461796389989,0.46336324721061023,0.3939580007368292,0.34105086739145296,0.4468194180423526,0.4329411764705882,0.38678306305510146,0.4811320754716981,0.9181395348837209,0.9004627993590576,0.9348230912476723,0.6764705882352942,0.6227088948787062,0.7272812075983718,0.8037459283387622,0.7905456384636215,0.8178145875104746
SVM,50,1500,1476,0.8057499012514977,0.02291034068423269,0.8046595611053642,0.03594759719866647,0.7458073819710631,0.024898536126027698,0.7462540970813173,0.04151241364561953,0.7332364003614203,0.026522071114481294,0.7314532543554391,0.03734476930359132,0.60965023151045,0.03830946886751206,0.604378680356334,0.05691966897692946,0.4362952137532119,0.0494833574485894,0.4308838287851159,0.07347923806642698,0.42635667411763484,0.05001193879613753,0.41875217189745145,0.07301229506880941,0.7042160116334725,0.059895911880435325,0.7077022653721683,0.06341571804322343,0.7622567890893681,0.04024870623271301,0.7630672146801178,0.06197809480763439,0.5408588086034516,0.04732546673285705,0.536,0.0778009615933345,0.8675635810496038,0.024695821835206754,0.8696784420289855,0.032370486928294806,0.8081794801641585,0.7840236286621929,0.8323020663081695,0.7693333333333333,0.748995983935743,0.7886297101449276,0.6818604651162791,0.656860718374231,0.7070984885626979,0.5411140583554377,0.49865229110512127,0.5823503196540839,0.39608700470272223,0.34354991292373654,0.4473014271042839,0.3903799847301346,0.3384107383622528,0.4416272243360731,0.48,0.4322350379535782,0.5281723359022057,0.8837209302325582,0.8635514018691589,0.9030478013594835,0.6200607902735562,0.5730469473220189,0.6656788247213778,0.8112724167378309,0.7966766368419427,0.8262476016438914
Gradient Boosting,50,1500,1476,0.7958700312995373,0.023991241907800415,0.7968573207246246,0.03771026889738183,0.7677213488016804,0.018879606587191365,0.7687213448802853,0.023177991701399003,0.6781236973971351,0.022305890617403762,0.6804688748948711,0.029943151578536442,0.5327222035878504,0.036892694120763514,0.539578111946533,0.042607779529468814,0.39088344861163277,0.04466734974269871,0.39710391649853416,0.04665066209457325,0.3827820291603565,0.04456476538229616,0.3900627855895911,0.050113329639356885,0.4701493908917491,0.04836775933837747,0.4670995670995671,0.052786604339500165,0.886098003902521,0.022793019408778037,0.8891347099311702,0.028593543105051022,0.6211699310852389,0.05566921290518776,0.6203448275862069,0.06411772041244468,0.808657946607959,0.02471486592873859,0.8131764069264069,0.027371418596489505,0.806441586867305,0.781147239839332,0.8299422630416065,0.7806666666666666,0.7593576648841355,0.7993289709172259,0.6904787961696306,0.662722191631132,0.7156851455807133,0.5548037889039242,0.5087633633445146,0.5958648461004397,0.4219569669337538,0.36274896271639767,0.4721990590577381,0.4136169201520913,0.3559753637972342,0.4639192539708011,0.4823529411764706,0.4345717607827651,0.5327102803738317,0.8986046511627906,0.8784730172907285,0.9171418160825511,0.6528662420382165,0.6012648520618157,0.7,0.8145025295109612,0.7998222293603406,0.8295898365604064
Logistic Regression,50,1500,1476,0.7933211086829552,0.025919945403648868,0.7892003062907406,0.042902269361582146,0.725980988147427,0.026015032382735438,0.73,0.03922724029521285,0.7188585083925974,0.027506172213159683,0.7202511332116897,0.03650979589828163,0.591234177094898,0.038308087643228045,0.5896841495218778,0.04761864005751981,0.4050724069962882,0.0517770909781332,0.4054079908336745,0.07002645634973031,0.39292175100352855,0.05172211283851922,0.3933322693558885,0.07253701324809803,0.7022483339519083,0.052610717554804017,0.6967660114140775,0.06353321422367797,0.7354686828332863,0.03595780359340761,0.7378224729747189,0.053309122280467136,0.5128420332041678,0.045251221325476876,0.5169853768278965,0.068424131862867,0.8622641675746787,0.025353892539883557,0.8618404982901807,0.034309088452972425,0.7976820793433652,0.7717682607452893,0.823132574953063,0.7266666666666667,0.7040477770404777,0.7493433619228688,0.719671682626539,0.6923017374737991,0.7458259911322029,0.5932539682539683,0.5601514457777693,0.6251217618850868,0.4061475373134851,0.3558460159990324,0.45429295326362534,0.3949530227753456,0.34543834683801666,0.4439352546213308,0.7035294117647058,0.6603585348569404,0.7494091218629063,0.7358139534883721,0.7086766669284537,0.7629653814262023,0.5128644939965694,0.4831606885178314,0.5443424237307216,0.8625954198473282,0.8437818460646922,0.8813780070373944
KNN,50,1500,1476,0.7486743719498209,0.025081830438821003,0.7494649983005829,0.04029761361837192,0.7490557710914614,0.01983905482274948,0.7491638795986622,0.023369969957160674,0.6574763300326788,0.02348161750733594,0.6593903373315138,0.027397776941535112,0.49958612323325724,0.039946430571470425,0.5048652372341342,0.04359586195908233,0.3427736726634685,0.047074073441274324,0.34840370026847944,0.04256336210332079,0.33653300621800986,0.047259546577435835,0.34095282258106363,0.04751728292704027,0.44511537228304343,0.050210722202617374,0.45512082853854996,0.07393820504608378,0.8698372877823141,0.022130711414326956,0.8649252892933378,0.03399534189007869,0.5753770008865494,0.053555699033158224,0.5681974741676235,0.08995445438362593,0.7985151427566065,0.025619749123765603,0.806501021102791,0.03254708348651736,0.7790752393980849,0.7528549963458873,0.8028517242410946,0.756,0.7362749595576696,0.7759343177551484,0.6668673050615594,0.6415946630793495,0.6924199712900065,0.5171503957783641,0.47540710017728555,0.5587467362924282,0.36186151749177065,0.31019220138728787,0.415830659004997,0.3571052169330756,0.3049653025809713,0.40891834106978675,0.4611764705882353,0.41509433962264153,0.5083426675372337,0.8725581395348837,0.851153415091493,0.8925283773887572,0.5885885885885885,0.5424229583975347,0.6363636363636364,0.803770351328192,0.7902929483033265,0.8189134105407392
Naive Bayes,50,1500,1476,0.7628894453060358,0.027760749877230054,0.7599059638964353,0.04158447043132485,0.6739001212976758,0.037538018173055944,0.6727593818984547,0.06250094762425018,0.6848374655008684,0.028288779267558455,0.6803354130571649,0.04357485059838073,0.5520109133822052,0.0392253747405743,0.5476544397324357,0.05734344449252138,0.33719838838414584,0.05449940198780216,0.3220297945651447,0.08564752627070588,0.3159886471888542,0.05722450599231054,0.3009561595707649,0.09315246718859271,0.7102844280183166,0.060039787852366945,0.7034632034632035,0.08209116832534558,0.6593905029834198,0.0628470877737749,0.6574641694499641,0.07201948706591521,0.4549803257598489,0.05033867754180052,0.44353297228416694,0.08339033287733699,0.8528462242208561,0.025743852595813375,0.8523175542406312,0.04091805194725007,0.76362024623803,0.7348940533989973,0.7934049315929865,0.6733333333333333,0.648699457471556,0.6976604207949645,0.6838850889192887,0.6569457586293468,0.7115571014115627,0.5512820512820513,0.5213241904582324,0.5815919449738957,0.33349535493772975,0.2849260537042625,0.38237093253172516,0.31375752765977305,0.26845991030776195,0.36001487095103635,0.7082352941176471,0.6643356643356644,0.755358911866353,0.6595348837209303,0.6303843793330758,0.6874491225036742,0.4512743628185907,0.42533723213523433,0.4779878824766226,0.851140456182473,0.8304061435640383,0.8731574260043853
